blk_read_time,blk_write_time,calls,local_blks_dirtied,local_blks_hit,local_blks_read,local_blks_written,max_time,mean_time,min_time,query,queryid,rows,shared_blks_dirtied,shared_blks_hit,shared_blks_read,shared_blks_written,stddev_time,temp_blks_read,temp_blks_written,total_time
0.0,0.0,9610,0,0,0,0,21.232,11.1802168574402,0.622,<insufficient privilege>,,48050,0,928454,0,0,0.876887747997335,0,0,107441.884
0.0,0.0,23,0,0,0,0,0.011,0.00134782608695652,0.0,<insufficient privilege>,,0,0,0,0,0,0.00209779792727214,0,0,0.031
0.0,0.0,12566,0,0,0,0,4.576,0.0252467770173484,0.02,<insufficient privilege>,,12566,0,50264,0,0,0.0673321787397826,0,0,317.25099999998
0.0,0.0,536,0,0,0,0,0.197,0.012070895522388,0.006,<insufficient privilege>,,0,0,0,0,0,0.0103086062047498,0,0,6.46999999999998
0.0,0.0,4024,0,0,0,0,1.557,0.0202229125248508,0.011,<insufficient privilege>,,4024,0,8045,3,0,0.029786713014915,0,0,81.3770000000011
0.0,0.0,153,0,0,0,0,0.002,0.000843137254901961,0.0,<insufficient privilege>,,0,0,0,0,0,0.00051281164041655,0,0,0.129
0.0,0.0,108,0,0,0,0,0.2,0.0674351851851851,0.025,<insufficient privilege>,,108,12,613,1,0,0.0420276084629361,0,0,7.283
0.0,0.0,10,0,0,0,0,0.689,0.5945,0.521,<insufficient privilege>,,10,11,860,0,0,0.0626837299464542,0,0,5.945
0.0,0.0,20,0,0,0,0,0.96,0.19865,0.088,<insufficient privilege>,,20,75,351,0,0,0.24652348265429,0,0,3.973
0.0,0.0,324,0,0,0,0,0.019,0.00188271604938272,0.0,<insufficient privilege>,,0,0,0,0,0,0.00215849113528419,0,0,0.61
0.0,0.0,402626,0,0,0,0,10.028,0.110007113301179,0.056,<insufficient privilege>,,0,0,0,0,0,0.0729813234877877,0,0,44291.724000004
0.0,0.0,55,0,0,0,0,0.062,0.0249090909090909,0.016,<insufficient privilege>,,55,0,88,0,0,0.00775364483739505,0,0,1.37
0.0,0.0,21,0,0,0,0,0.022,0.0113809523809524,0.008,<insufficient privilege>,,0,0,0,0,0,0.00342923274045501,0,0,0.239
0.0,0.0,24,0,0,0,0,0.03,0.0104166666666667,0.005,<insufficient privilege>,,0,0,0,0,0,0.00609587747762553,0,0,0.25
0.0,0.0,20,0,0,0,0,0.256,0.137,0.046,<insufficient privilege>,,304,0,334,0,0,0.0579214985993974,0,0,2.74
0.0,0.0,1475,0,0,0,0,0.843,0.101715254237288,0.077,<insufficient privilege>,,1475,0,8913,0,0,0.0373185681668002,0,0,150.03
0.0,0.0,140479,0,0,0,0,7.593,0.00152219192904277,0.0,<insufficient privilege>,,0,0,0,0,0,0.0205712471256924,0,0,213.83600000036
0.0,0.0,187,0,0,0,0,0.326,0.0133850267379679,0.007,<insufficient privilege>,,0,0,0,0,0,0.0232425340867704,0,0,2.503
0.0,0.0,66816,0,0,0,0,1951.132,0.206797862787357,0.051,<insufficient privilege>,,66816,104406,462877,414,0,7.95534908771816,0,0,13817.406
0.0,0.0,1206,0,0,0,0,0.187,0.0115945273631841,0.005,<insufficient privilege>,,1206,15,1240,14,0,0.0120337668876499,0,0,13.9829999999999
0.0,0.0,393,0,0,0,0,0.173,0.0473409669211196,0.015,<insufficient privilege>,,391,4,2033,1,0,0.0193111861235304,0,0,18.605
0.0,0.0,2623,0,0,0,0,11.602,0.0946401067479985,0.063,<insufficient privilege>,,2623,0,26230,0,0,0.381333253260492,0,0,248.241000000001
0.0,0.0,112,0,0,0,0,0.054,0.0248571428571429,0.004,<insufficient privilege>,,81,0,193,0,0,0.0102311299673185,0,0,2.784
